experiment_id,gen_id,gen_fit_max,gen_gain_max,overall_fit_max,overall_gain_max,fit_mean,fit_var,fit_std,gain_mean,gain_var,gain_std
1,1,56.967866,-60.000000,56.967866,-60.000000,4.558787,60.343519,7.768109,-189.900000,494.990000,22.248371
1,2,61.467866,-50.000000,61.467866,-50.000000,9.224359,121.882664,11.040048,-175.100000,932.990000,30.544885
1,3,65.916646,-40.000000,65.916646,-40.000000,15.112408,233.684725,15.286750,-158.900000,1517.790000,38.958824
1,4,70.558632,-30.000000,70.558632,-30.000000,23.740434,462.447775,21.504599,-138.200000,2714.760000,52.103359
1,5,70.558632,-30.000000,70.558632,-30.000000,30.307777,539.819009,23.234005,-122.300000,3059.710000,55.314645
1,6,70.558632,-30.000000,70.558632,-30.000000,35.553957,564.289408,23.754777,-110.800000,3287.360000,57.335504
1,7,70.502571,-30.000000,70.558632,-30.000000,37.293620,569.055254,23.854879,-106.100000,3205.790000,56.619696
1,8,65.916646,-40.000000,70.558632,-30.000000,43.455476,449.429679,21.199757,-91.700000,2530.110000,50.300199
1,9,66.009042,-40.000000,70.558632,-30.000000,45.971488,491.885861,22.178500,-86.900000,2921.390000,54.049884
1,10,66.027623,-40.000000,70.558632,-30.000000,43.317139,574.275763,23.964051,-93.300000,3398.110000,58.293310
1,11,66.027623,-40.000000,70.558632,-30.000000,43.258765,508.017684,22.539248,-92.080000,3000.713600,54.778770
1,12,65.968691,-40.000000,70.558632,-30.000000,44.030582,562.543723,23.718004,-91.180000,3532.647600,59.436080
1,13,65.968691,-40.000000,70.558632,-30.000000,46.636856,544.601199,23.336692,-85.680000,3298.377600,57.431504
1,14,65.968691,-40.000000,70.558632,-30.000000,44.074130,619.362810,24.887001,-90.820000,3676.087600,60.630748
1,15,70.361967,-30.000000,70.558632,-30.000000,42.666103,745.435294,27.302661,-95.960000,4589.358400,67.744803
1,16,70.477095,-30.000000,70.558632,-30.000000,50.308571,569.735940,23.869142,-77.600000,3464.240000,58.857795
1,17,70.477095,-30.000000,70.558632,-30.000000,48.594411,691.062772,26.288073,-81.600000,4097.440000,64.011249
1,18,74.921611,-20.000000,74.921611,-20.000000,49.909228,642.559263,25.348753,-78.100000,3743.390000,61.183249
1,19,74.921611,-20.000000,74.921611,-20.000000,50.158080,674.987135,25.980515,-78.200000,4054.760000,63.676997
1,20,74.921611,-20.000000,74.921611,-20.000000,50.963841,577.855436,24.038624,-75.700000,3424.510000,58.519313
1,21,74.921611,-20.000000,74.921611,-20.000000,54.759473,526.385944,22.943102,-67.100000,3168.590000,56.290230
1,22,74.921611,-20.000000,74.921611,-20.000000,53.825644,545.005441,23.345352,-69.000000,3207.000000,56.630381
1,23,74.921611,-20.000000,74.921611,-20.000000,49.490125,765.555929,27.668681,-80.200000,4613.960000,67.926136
1,24,74.921611,-20.000000,74.921611,-20.000000,54.209140,516.772165,22.732623,-68.100000,3061.390000,55.329829
1,25,74.921611,-20.000000,74.921611,-20.000000,54.237983,541.660427,23.273599,-68.000000,3182.000000,56.409219
1,26,74.921611,-20.000000,74.921611,-20.000000,45.170192,874.019959,29.563829,-91.000000,5315.000000,72.904047
1,27,74.921611,-20.000000,74.921611,-20.000000,44.206121,836.495343,28.922229,-93.400000,5160.440000,71.836203
1,28,74.921611,-20.000000,74.921611,-20.000000,53.416426,442.855308,21.044128,-68.840000,2540.414400,50.402524
1,29,74.921611,-20.000000,74.921611,-20.000000,52.021698,626.668989,25.033358,-73.900000,3807.790000,61.707293
1,30,70.477095,-30.000000,74.921611,-20.000000,53.653703,548.413661,23.418234,-69.500000,3250.750000,57.015349
2,1,61.467866,-50.000000,61.467866,-50.000000,6.082051,114.056213,10.679710,-185.300000,838.910000,28.963943
2,2,61.467866,-50.000000,61.467866,-50.000000,16.497137,307.039493,17.522542,-156.600000,1984.440000,44.547054
