experiment_id,gen_id,gen_fit_max,gen_gain_max,overall_fit_max,overall_gain_max,fit_mean,fit_var,fit_std,gain_mean,gain_var,gain_std
1,1,47.722085,-209.200000,47.722085,-209.200000,13.298354,184.672855,13.589439,-623.468000,24633.334576,156.950102
1,2,48.908705,-199.200000,48.908705,-199.200000,20.842159,181.540238,13.473687,-536.980000,24282.485200,155.828384
1,3,48.908705,-199.200000,48.908705,-199.200000,24.341544,225.032937,15.001098,-492.650000,27059.165900,164.496705
1,4,48.908705,-199.200000,48.908705,-199.200000,29.104414,229.572892,15.151663,-442.028000,31754.342416,178.197482
1,5,48.913192,-199.200000,48.913192,-199.200000,30.629306,245.259565,15.660765,-426.782000,33715.558476,183.617969
1,6,53.459147,-156.200000,53.459147,-156.200000,30.620057,307.423506,17.533497,-428.352000,42702.608096,206.646094
1,7,53.459147,-156.200000,53.459147,-156.200000,31.378666,286.700494,16.932232,-413.378000,36668.732716,191.490816
1,8,57.627970,-143.400000,57.627970,-143.400000,32.052283,313.173527,17.696709,-409.260000,39788.139600,199.469646
1,9,57.627970,-143.400000,57.627970,-143.400000,34.719880,284.790354,16.875733,-379.214000,35739.887404,189.049960
1,10,57.627970,-143.400000,57.627970,-143.400000,35.784505,248.779453,15.772744,-373.292000,31407.233136,177.220860
1,11,57.627970,-143.400000,57.627970,-143.400000,34.407461,324.582644,18.016177,-375.862000,41132.335756,202.811084
1,12,57.627970,-143.400000,57.627970,-143.400000,33.728475,339.723122,18.431579,-390.174000,48642.050924,220.549430
1,13,57.627970,-143.400000,57.627970,-143.400000,34.741486,275.229610,16.590046,-373.804000,38277.361584,195.646011
1,14,57.627970,-143.400000,57.627970,-143.400000,32.267620,384.076044,19.597858,-392.142000,51973.198636,227.976312
1,15,57.627970,-143.400000,57.627970,-143.400000,36.155787,292.460884,17.101488,-360.552000,42158.561696,205.325502
1,16,57.627970,-143.400000,57.627970,-143.400000,35.629963,346.044711,18.602277,-363.866000,49130.686444,221.654430
1,17,57.627970,-143.400000,57.627970,-143.400000,30.434963,412.710295,20.315272,-418.370000,54821.574700,234.140075
1,18,57.627970,-143.400000,57.627970,-143.400000,32.421169,395.422627,19.885236,-398.146000,54870.390284,234.244296
1,19,57.627970,-143.400000,57.627970,-143.400000,38.628265,286.422995,16.924036,-328.394000,39253.897964,198.125965
1,20,60.210598,-100.800000,60.210598,-100.800000,36.098101,376.735751,19.409682,-357.276000,51739.181424,227.462484
1,21,60.210598,-100.800000,60.210598,-100.800000,40.215921,283.104451,16.825708,-304.540000,40078.582800,200.196361
1,22,60.210598,-100.800000,60.210598,-100.800000,35.477103,336.735116,18.350344,-358.120000,44571.608800,211.119892
1,23,60.210598,-100.800000,60.210598,-100.800000,39.035222,297.200294,17.239498,-323.158000,44546.983436,211.061563
1,24,56.414465,-68.200000,60.210598,-100.800000,38.300175,327.963276,18.109756,-329.586000,44124.458604,210.058227
1,25,58.703252,-46.400000,60.210598,-100.800000,39.717942,373.342924,19.322084,-312.346000,51863.607084,227.735827
1,26,55.781059,-114.200000,60.210598,-100.800000,38.430681,419.214165,20.474720,-321.484000,56513.280144,237.725220
1,27,55.781059,-114.200000,60.210598,-100.800000,44.127382,256.847602,16.026466,-258.036000,38488.609104,196.185140
1,28,55.781059,-114.200000,60.210598,-100.800000,38.224317,434.935997,20.855119,-319.456000,56621.332064,237.952374
1,29,55.781059,-114.200000,60.210598,-100.800000,43.611920,322.099747,17.947138,-261.342000,44404.415436,210.723552
1,30,55.781059,-114.200000,60.210598,-100.800000,41.708223,367.935461,19.181644,-289.458000,54864.509036,234.231742
1,31,55.781059,-114.200000,60.210598,-100.800000,42.423173,377.547412,19.430579,-272.870000,51127.537100,226.113991
1,32,55.781059,-114.200000,60.210598,-100.800000,42.126885,420.376695,20.503090,-274.950000,57823.489100,240.465152
1,33,56.671110,-131.600000,60.210598,-100.800000,48.842528,225.693520,15.023100,-198.066000,32214.375244,179.483635
1,34,56.671110,-131.600000,60.210598,-100.800000,45.135544,394.870014,19.871336,-244.254000,59605.338284,244.142045
1,35,56.671110,-131.600000,60.210598,-100.800000,39.034239,586.084067,24.209173,-311.838000,79327.454956,281.651300
1,36,56.671110,-131.600000,60.210598,-100.800000,42.002241,458.819677,21.420076,-277.920000,63466.241600,251.925071
1,37,55.781059,-114.200000,60.210598,-100.800000,41.936580,503.186157,22.431811,-277.096000,69222.033184,263.100804
1,38,55.781059,-114.200000,60.210598,-100.800000,41.567639,467.412147,21.619717,-281.622000,64411.640716,253.794485
1,39,55.781059,-114.200000,60.210598,-100.800000,43.447175,409.657024,20.239986,-261.128000,59304.498016,243.525149
1,40,55.781059,-114.200000,60.210598,-100.800000,41.140646,457.161525,21.381336,-288.204000,63617.999984,252.226089
1,41,55.781059,-114.200000,60.210598,-100.800000,43.195481,452.037492,21.261173,-261.806000,61746.941164,248.489318
1,42,55.781059,-114.200000,60.210598,-100.800000,41.363155,508.789848,22.556370,-278.532000,65888.542576,256.687636
1,43,55.781059,-114.200000,60.210598,-100.800000,46.922545,315.137915,17.752124,-216.882000,42112.916076,205.214317
1,44,55.781059,-114.200000,60.210598,-100.800000,44.938759,439.037303,20.953217,-246.166000,65978.168044,256.862158
1,45,55.781059,-114.200000,60.210598,-100.800000,44.556821,417.226750,20.426129,-249.376000,59842.916224,244.628118
1,46,55.781059,-114.200000,60.210598,-100.800000,49.031839,304.282115,17.443684,-194.948000,42395.524496,205.901735
1,47,55.781059,-114.200000,60.210598,-100.800000,38.278118,587.473010,24.237843,-322.136000,82242.452704,286.779450
1,48,55.781059,-114.200000,60.210598,-100.800000,40.299141,540.919465,23.257675,-294.364000,73887.148304,271.821905
1,49,55.781059,-114.200000,60.210598,-100.800000,42.239557,487.507629,22.079575,-275.942000,69250.042636,263.154028
1,50,56.434610,-164.200000,60.210598,-100.800000,46.845502,296.854580,17.229468,-222.412000,43784.686256,209.247906
1,51,55.781059,-114.200000,60.210598,-100.800000,41.927787,501.796040,22.400804,-280.902000,72142.093996,268.592803
1,52,55.781059,-114.200000,60.210598,-100.800000,39.790917,544.968606,23.344563,-305.578000,78753.069516,280.629773
1,53,55.781059,-114.200000,60.210598,-100.800000,44.081888,446.619922,21.133384,-252.394000,61113.175564,247.210792
1,54,55.781059,-114.200000,60.210598,-100.800000,43.794419,456.978523,21.377056,-260.046000,66068.668684,257.038263
1,55,55.781059,-114.200000,60.210598,-100.800000,43.089952,494.602637,22.239664,-266.394000,71224.622764,266.879416
1,56,55.781059,-114.200000,60.210598,-100.800000,46.648281,338.635876,18.402062,-224.174000,48329.012524,219.838606
1,57,55.781059,-114.200000,60.210598,-100.800000,37.158160,614.189259,24.782842,-338.872000,89084.167616,298.469710
1,58,61.303930,-78.000000,61.303930,-78.000000,45.659219,382.315550,19.552891,-233.226000,53054.191724,230.334955
1,59,61.303930,-78.000000,61.303930,-78.000000,43.380410,417.787290,20.439846,-265.110000,61090.697100,247.165323
1,60,61.303930,-78.000000,61.303930,-78.000000,46.916344,328.479285,18.123997,-219.546000,45717.681484,213.816935
1,61,61.303930,-78.000000,61.303930,-78.000000,46.345975,368.488266,19.196048,-223.390000,49891.153900,223.363278
1,62,61.303930,-78.000000,61.303930,-78.000000,40.147106,531.922365,23.063442,-300.600000,74642.288800,273.207410
