experiment_id,gen_id,gen_fit_max,gen_gain_max,overall_fit_max,overall_gain_max,fit_mean,fit_var,fit_std,gain_mean,gain_var,gain_std
1,1,56.967866,-60.000000,56.967866,-60.000000,4.842348,112.388602,10.601349,-188.780000,790.151600,28.109635
1,2,65.697643,-40.000000,65.697643,-40.000000,8.634893,182.977074,13.526902,-176.400000,1221.040000,34.943383
1,3,56.967866,-60.000000,65.697643,-40.000000,12.775725,203.485353,14.264829,-164.100000,1332.190000,36.499178
1,4,66.247886,-40.000000,66.247886,-40.000000,13.068749,249.421555,15.793086,-164.600000,1618.840000,40.234811
1,5,61.470840,-50.000000,66.247886,-40.000000,18.909616,361.719627,19.018928,-149.700000,2204.910000,46.956469
1,6,65.963929,-40.000000,66.247886,-40.000000,24.395693,469.230977,21.661740,-136.540000,3253.268400,57.037430
1,7,65.963929,-40.000000,66.247886,-40.000000,28.689220,466.037165,21.587894,-126.660000,2891.604400,53.773640
1,8,66.035830,-40.000000,66.247886,-40.000000,23.371391,518.205545,22.764128,-139.900000,3090.990000,55.596673
1,9,66.035830,-40.000000,66.247886,-40.000000,39.710719,481.619670,21.945835,-101.400000,2924.040000,54.074393
1,10,66.035830,-40.000000,66.247886,-40.000000,32.889281,634.297555,25.185265,-117.400000,3711.240000,60.919947
1,11,66.260264,-40.000000,66.260264,-40.000000,43.437652,395.987659,19.899439,-90.500000,2020.750000,44.952753
1,12,72.629855,12.000000,72.629855,12.000000,40.393712,488.291351,22.097315,-97.640000,3003.150400,54.801007
1,13,72.629855,12.000000,72.629855,12.000000,43.670740,452.621822,21.274911,-90.260000,2699.012400,51.952020
1,14,72.629855,12.000000,72.629855,12.000000,42.896916,554.001722,23.537241,-92.040000,3089.438400,55.582717
1,15,71.689060,-6.000000,72.629855,12.000000,38.425905,571.667309,23.909565,-103.560000,3300.686400,57.451600
1,16,65.820003,-40.000000,72.629855,12.000000,24.771891,629.903619,25.097881,-135.180000,3929.527600,62.685944
1,17,72.000531,0.000000,72.629855,12.000000,44.158583,473.491042,21.759849,-89.700000,2666.910000,51.642134
1,18,70.416995,-30.000000,72.629855,12.000000,40.145718,589.963522,24.289165,-100.300000,3440.910000,58.659270
1,19,70.416995,-30.000000,72.629855,12.000000,42.403806,427.867317,20.684954,-93.080000,2256.673600,47.504459
1,20,70.416995,-30.000000,72.629855,12.000000,49.995788,280.218858,16.739739,-76.600000,1630.440000,40.378707
1,21,70.619275,-28.000000,72.629855,12.000000,50.153878,344.101745,18.549980,-75.520000,1794.089600,42.356695
1,22,70.619275,-28.000000,72.629855,12.000000,37.306414,593.180727,24.355302,-106.540000,3515.748400,59.293747
1,23,61.519074,-50.000000,72.629855,12.000000,50.513980,233.753175,15.288989,-75.200000,1332.960000,36.509725
1,24,66.021050,-40.000000,72.629855,12.000000,49.066052,259.850616,16.119883,-77.700000,1299.710000,36.051491
1,25,66.039806,-40.000000,72.629855,12.000000,47.629602,384.645112,19.612371,-81.700000,2094.110000,45.761447
1,26,66.237237,-40.000000,72.629855,12.000000,45.279688,383.253502,19.576861,-87.100000,2086.590000,45.679208
1,27,71.844719,-8.000000,72.629855,12.000000,51.102475,212.603614,14.580933,-73.320000,1178.497600,34.329253
1,28,66.039806,-40.000000,72.629855,12.000000,50.343942,278.393454,16.685127,-75.100000,1400.990000,37.429801
1,29,61.894631,-50.000000,72.629855,12.000000,43.946050,384.099079,19.598446,-89.020000,1925.559600,43.881199
